Latitude cane,GJ net cane energy per GJ NPP,Ha cane,Ha cane normalized to max
-4.7083,0.844786709,3024.6,0.0241968
-4.7917,0.944685876,3083.3,0.0246664
-4.875,0.926277584,2657.1,0.0212568
-4.9583,0.659320787,1641.8,0.0131344
-5.0417,0.684452157,1505,0.01204
-5.125,0.646016974,1464.5,0.011716
-5.2083,0.692663748,1808.5,0.014468
-5.2917,0.689516104,2181.4,0.0174512
-5.375,0.698971468,2154.8,0.0172384
-5.4583,0.848907917,2798,0.022384
-5.5417,1.094936833,4833.6,0.0386688
-5.625,1.111463187,4318.1,0.0345448
-5.7083,1.211345131,4289.6,0.0343168
-5.7917,1.116066091,3198.4,0.0255872
-5.875,1.338301397,1842.5,0.01474
-5.9583,1.189983836,2031.4,0.0162512
-6.0417,1.068267612,3585.3,0.0286824
-6.125,1.006944143,2992,0.023936
-6.2083,1.120317383,16878,0.135024
-6.2917,1.263802237,11360,0.09088
-6.375,1.13786804,10462,0.083696
-6.4583,0.936579362,9705.2,0.0776416
-6.5417,0.854517431,6472.9,0.0517832
-6.625,0.814386038,5722.3,0.0457784
-6.7083,0.851425071,6471.3,0.0517704
-6.7917,0.922246652,12457,0.099656
-6.875,0.921431759,9299.4,0.0743952
-6.9583,0.861247971,16719,0.133752
-7.0417,0.835571204,12843,0.102744
-7.125,1.000034669,14280,0.11424
-7.2083,0.915317308,13152,0.105216
-7.2917,1.089942087,17475,0.1398
-7.375,1.080407463,23132,0.185056
-7.4583,1.052940543,32512,0.260096
-7.5417,1.074936847,27913,0.223304
-7.625,1.021504967,26529,0.212232
-7.7083,0.91753364,29376,0.235008
-7.7917,0.996400936,13688,0.109504
-7.875,0.944972016,14686,0.117488
-7.9583,1.235013325,8696.9,0.0695752
-8.0417,1.134979346,8516.6,0.0681328
-8.125,1.003604377,23889,0.191112
-8.2083,0.914745854,19579,0.156632
-8.2917,0.921971122,27604,0.220832
-8.375,0.890465128,27082,0.216656
-8.4583,0.862022689,28016,0.224128
-8.5417,0.901993459,22634,0.181072
-8.625,0.950882497,22838,0.182704
-8.7083,0.944796852,19333,0.154664
-8.7917,1.091154786,28722,0.229776
-8.875,1.097343731,12373,0.098984
-8.9583,1.038332194,20043,0.160344
-9.0417,1.024732556,20273,0.162184
-9.125,1.031571955,18792,0.150336
-9.2083,1.003698102,20251,0.162008
-9.2917,0.98681007,24367,0.194936
-9.375,0.939373347,25028,0.200224
-9.4583,0.960721001,27877,0.223016
-9.5417,1.110934008,23919,0.191352
-9.625,1.270514528,32194,0.257552
-9.7083,1.175522059,33942,0.271536
-9.7917,1.300159899,31988,0.255904
-9.875,1.211109883,46131,0.369048
-9.9583,1.176639768,30266,0.242128
-10.042,1.149865868,25441,0.203528
-10.125,1.001214031,17323,0.138584
-10.208,1.0660557,12088,0.096704
-10.292,0.974743911,8933.8,0.0714704
-10.375,1.121473221,9541.7,0.0763336
-10.458,1.192826709,10576,0.084608
-10.542,1.174829924,7397.8,0.0591824
-10.625,1.153827903,7836.7,0.0626936
-10.708,1.199914696,7316.5,0.058532
-10.792,1.029834494,8333.1,0.0666648
-10.875,1.206559272,4310.8,0.0344864
-10.958,1.175205886,3455.1,0.0276408
-11.042,1.137206916,3650.7,0.0292056
-11.125,1.131832665,3505.6,0.0280448
-11.208,1.02885624,2712.7,0.0217016
-11.292,1.01064733,2494.2,0.0199536
-11.375,1.08941617,2229.9,0.0178392
-11.458,0.982804963,2013.6,0.0161088
